Index: 0, Name: manifest, 	originalSize: 2253, 	startOffset: 1834, 	blockListStart: 0
Index: 1, Name: CORALBASE.BASE.DDS, 	originalSize: 699192, 	startOffset: 2046, 	blockListStart: 1
Index: 2, Name: CORALBASE.BASE.MASKS.DDS, 	originalSize: 699192, 	startOffset: 571248, 	blockListStart: 12
Index: 3, Name: CORALBASE.BASE.NORMAL.DDS, 	originalSize: 1398256, 	startOffset: 752633, 	blockListStart: 23
Index: 4, Name: CORALBASE.DDS, 	originalSize: 699192, 	startOffset: 1458462, 	blockListStart: 45
Index: 5, Name: CORALBASE.GRADIENT.DDS, 	originalSize: 1398256, 	startOffset: 1459877, 	blockListStart: 56
Index: 6, Name: CORALBASE.MASKS.DDS, 	originalSize: 699192, 	startOffset: 571248, 	blockListStart: 12
Index: 7, Name: CORALBASE.NORMAL.DDS, 	originalSize: 1398256, 	startOffset: 2435234, 	blockListStart: 78
Index: 8, Name: CORALSPIKE.BASE.DDS, 	originalSize: 174904, 	startOffset: 3187384, 	blockListStart: 100
Index: 9, Name: CORALSPIKE.BASE.MASKS.DDS, 	originalSize: 349680, 	startOffset: 3291910, 	blockListStart: 103
Index: 10, Name: CORALSPIKE.BASE.NORMAL.DDS, 	originalSize: 349680, 	startOffset: 3406727, 	blockListStart: 109
Index: 11, Name: CORALSPIKE.DDS, 	originalSize: 174904, 	startOffset: 3660290, 	blockListStart: 115
Index: 12, Name: CORALSPIKE.GRADIENT.DDS, 	originalSize: 349680, 	startOffset: 3697187, 	blockListStart: 118
Index: 13, Name: CORALSPIKE.MASKS.DDS, 	originalSize: 174904, 	startOffset: 3761050, 	blockListStart: 124
Index: 14, Name: CORALSPIKE.NORMAL.DDS, 	originalSize: 349680, 	startOffset: 3406727, 	blockListStart: 109
Index: 15, Name: LARGECORAL.BASE.DDS, 	originalSize: 699192, 	startOffset: 3861618, 	blockListStart: 127
Index: 16, Name: LARGECORAL.BASE.MASKS.DDS, 	originalSize: 699192, 	startOffset: 4289822, 	blockListStart: 138
Index: 17, Name: LARGECORAL.BASE.NORMAL.DDS, 	originalSize: 1398256, 	startOffset: 4540293, 	blockListStart: 149
Index: 18, Name: LARGECORAL.DDS, 	originalSize: 699192, 	startOffset: 5333446, 	blockListStart: 171
Index: 19, Name: LARGECORAL.GRADIENT.DDS, 	originalSize: 1398256, 	startOffset: 5668749, 	blockListStart: 182
Index: 20, Name: LARGELUMP1.DDS, 	originalSize: 43832, 	startOffset: 6126448, 	blockListStart: 204
Index: 21, Name: LARGELUMP1.MASKS.DDS, 	originalSize: 87536, 	startOffset: 6156138, 	blockListStart: 205
Index: 22, Name: LARGELUMP1.NORMAL.DDS, 	originalSize: 87536, 	startOffset: 6205883, 	blockListStart: 207
Index: 23, Name: LIMPET.BASE.DDS, 	originalSize: 174904, 	startOffset: 6280509, 	blockListStart: 209
Index: 24, Name: LIMPET.BASE.MASKS.DDS, 	originalSize: 174904, 	startOffset: 6414033, 	blockListStart: 212
Index: 25, Name: LIMPET.BASE.NORMAL.DDS, 	originalSize: 349680, 	startOffset: 6522939, 	blockListStart: 215
Index: 26, Name: LIMPET.DDS, 	originalSize: 349680, 	startOffset: 6797237, 	blockListStart: 221
Index: 27, Name: LIMPET.GRADIENT.DDS, 	originalSize: 349680, 	startOffset: 6798142, 	blockListStart: 227
Index: 28, Name: SCALLOP.BASE.DDS, 	originalSize: 699192, 	startOffset: 6999890, 	blockListStart: 233
Index: 29, Name: SCALLOP.BASE.MASKS.DDS, 	originalSize: 699192, 	startOffset: 7547116, 	blockListStart: 244
Index: 30, Name: SCALLOP.BASE.NORMAL.DDS, 	originalSize: 1398256, 	startOffset: 8002738, 	blockListStart: 255
Index: 31, Name: SCALLOP.DDS, 	originalSize: 699192, 	startOffset: 9210228, 	blockListStart: 277
Index: 32, Name: SCALLOP.GRADIENT.DDS, 	originalSize: 1398256, 	startOffset: 9211642, 	blockListStart: 288
Index: 33, Name: CORALDISC.BASE.DDS, 	originalSize: 174904, 	startOffset: 9938974, 	blockListStart: 310
Index: 34, Name: CORALDISC.BASE.MASKS.DDS, 	originalSize: 174904, 	startOffset: 9998361, 	blockListStart: 313
Index: 35, Name: CORALDISC.BASE.NORMAL.DDS, 	originalSize: 349680, 	startOffset: 10057008, 	blockListStart: 316
Index: 36, Name: CORALDISC.DDS, 	originalSize: 174904, 	startOffset: 10236728, 	blockListStart: 322
Index: 37, Name: CORALDISC.GRADIENT.DDS, 	originalSize: 349680, 	startOffset: 10316818, 	blockListStart: 325
